"#";"Quantity";"RefDes";"Manufacturer";"Order Number";"Description"
"1";"1";"C1";"RND components";"RND 150VVT050M101FB3";"Miniature Aluminium Electrolytic Capacitor 100uF 50V ±20% 8x10.5mm"
"2";"1";"D1";"Nexperia";"PMEG4030EP";"40 V, 3 A low VF Schottky barrier rectifier"
"3";"5";"J1, J3, J5, J11, J12";"Diverse";"-";"JST XH 2pol Connector 2.54mm (not orginal JST standart)"
"4";"7";"J2, J6, J7, J8, J9, J15, J17";"Diverse";"-";"JST XH 4pol Connector 2.54mm (not orginal JST standart)"
"5";"3";"J4, J18, J19";"Diverse";"-";"JST XH 3pol Connector 2.54mm (not orginal JST standart)"
"6";"1";"J10";"Samtec";"TSW-104-07-G-S";"1x4 Pol Connector 100mil "
"7";"1";"J16";"Diverse";"-";"JST XH 7pol Connector 2.54mm (not orginal JST standart)"
"8";"1";"M1";"Diverse";"-";"ESP32 NodeMCU Module WLAN WiFi Development Board Socket"
"9";"1";"M2";"Diverse";"-";"MP1584 Module Socket"
"10";"1";"M3";"Diverse";"-";"TMC2209 Silent Stepper Stick Socket"
"11";"4";"R1, R2, R3, R4";"Vishay";"MCT06030Z0000ZP500";"Resistor 0R 1% 0603"
